,Name,Url,Review,Rating,Category 1,Category 2
15392,Top Cuvee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d17391841-Reviews-Top_Cuvee-London_England.html,3 reviews,3 of 5 bubbles,,
15393,Childsplay Brasserie,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d17185941-Reviews-Childsplay_Brasserie-London_England.html,2 reviews,3 of 5 bubbles,Japanese,"£
Japanese"
15394,Shu Xiangge Chinese Hot Pot,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10348179-Reviews-Shu_Xiangge_Chinese_Hot_Pot-London_England.html,28 reviews,3 of 5 bubbles,Chinese,"££ - £££
Chinese"
15395,Il Giardino Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1381316-Reviews-Il_Giardino_Restaurant-London_England.html,2 reviews,3 of 5 bubbles,Italian,"££ - £££
Italian"
15396,The Oystercatcher,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d17371055-Reviews-The_Oystercatcher-London_England.html,3 reviews,3 of 5 bubbles,British,"Bar
British
Pub"
15397,Cafe Italia,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10027813-Reviews-Cafe_Italia-London_England.html,21 reviews,3 of 5 bubbles,Italian,"£
Italian
Cafe"
15398,Oliver's Fish & Chips,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8608710-Reviews-Oliver_s_Fish_Chips-London_England.html,74 reviews,3 of 5 bubbles,Seafood,"£
Seafood
Fast food
British"
15399,The Sweet Spot,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7346824-Reviews-The_Sweet_Spot-London_England.html,15 reviews,3 of 5 bubbles,,
15400,"Loves, The Little Kingdom of Great",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9695209-Reviews-Loves_The_Little_Kingdom_of_Great-London_England.html,5 reviews,3 of 5 bubbles,,
15401,Whispers cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4261944-Reviews-Whispers_cafe-London_England.html,3 reviews,3 of 5 bubbles,International,International
15402,Panshi Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10176198-Reviews-Panshi_Restaurant-London_England.html,4 reviews,3 of 5 bubbles,Asian,"Asian
Bangladeshi"
15403,Jerk And Jollof,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10539201-Reviews-Jerk_And_Jollof-London_England.html,13 reviews,3 of 5 bubbles,Caribbean,"£
Caribbean
African"
15404,Cafe Ole tooting,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d16724157-Reviews-Cafe_Ole_tooting-London_England.html,5 reviews,4 of 5 bubbles,Italian,"£
Italian
French
Cafe
European
British
Portuguese"
